Job_ID,Job_Title,Industry,Location,Work_Type,Experience_Level,Required_Skills,Min_Salary_INR,Max_Salary_INR,Posting_Date
JOB-202633,Product Manager,IT & Tech,Pune,Hybrid,Entry-Level,"Java, Spring Boot",1093737,1431856,2026-03-19
JOB-202634,Software Engineer,IT & Tech,Hyderabad,On-Site,Executive,"Cybersecurity, Network",2925189,3919156,2026-02-28
JOB-202635,Bioinformatics Scientist,Healthcare,Hyderabad,On-Site,Mid-Level,Hospital Administration,1341937,1662829,2026-01-11
JOB-202636,Bioinformatics Scientist,Healthcare,Gurugram,On-Site,Mid-Level,"Healthcare Data, SQL",1162867,1418910,2026-01-08
JOB-202637,Social Media Expert,Marketing,Hyderabad,Hybrid,Mid-Level,Digital Marketing,1026998,1456212,2026-02-28
JOB-202638,Social Media Expert,Marketing,Gurugram,Remote,Executive,Digital Marketing,2435892,3413929,2026-02-13
JOB-202639,Marketing Manager,Marketing,Noida,Remote,Mid-Level,Content Writing,863068,1266918,2026-03-31
JOB-202640,Content Strategist,Marketing,Bengaluru,Hybrid,Entry-Level,Content Writing,877247,1208071,2026-04-05
JOB-202641,Bioinformatics Scientist,Healthcare,Noida,Hybrid,Senior,Hospital Administration,1529847,2232854,2026-04-07
JOB-202642,Data Scientist,IT & Tech,Hyderabad,Hybrid,Entry-Level,"Python, Machine Learning",1173377,1520374,2026-04-08
JOB-202643,Clinical Data Analyst,Healthcare,Hyderabad,Hybrid,Mid-Level,"Healthcare Data, SQL",1194291,1495030,2026-05-25
JOB-202644,Healthcare Administrator,Healthcare,Noida,Hybrid,Mid-Level,"Healthcare Data, SQL",989257,1369872,2026-02-08
JOB-202645,Healthcare Administrator,Healthcare,Bengaluru,Hybrid,Lead,Hospital Administration,1787904,2385673,2026-01-21
JOB-202646,Content Strategist,Marketing,Pune,Remote,Mid-Level,Digital Marketing,1130977,1529655,2026-02-01
JOB-202647,Financial Analyst,Finance,Noida,Remote,Senior,"Financial Modeling, Excel",1724603,2215911,2026-02-23
JOB-202648,Risk Manager,Finance,Delhi,Hybrid,Mid-Level,"Financial Modeling, Excel",1526035,2142104,2026-05-09
JOB-202649,Clinical Data Analyst,Healthcare,Chennai,On-Site,Entry-Level,Hospital Administration,570103,826904,2026-04-30
JOB-202650,DevOps Engineer,IT & Tech,Noida,Hybrid,Entry-Level,"Python, SQL",1355235,1769313,2026-04-12
JOB-202651,Cybersecurity Analyst,IT & Tech,Bengaluru,Remote,Entry-Level,"React, Node.js",560423,823957,2026-05-30
JOB-202652,Bioinformatics Scientist,Healthcare,Bengaluru,On-Site,Entry-Level,"Healthcare Data, SQL",973123,1378838,2026-01-26
JOB-202653,Bioinformatics Scientist,Healthcare,Hyderabad,On-Site,Executive,"Healthcare Data, SQL",2631388,3673589,2026-05-16
JOB-202654,Product Manager,IT & Tech,Mumbai,On-Site,Entry-Level,"AWS, Docker",719976,1052197,2026-01-30
JOB-202655,Clinical Data Analyst,Healthcare,Pune,On-Site,Senior,"Healthcare Data, SQL",1698623,2190016,2026-02-28
JOB-202656,Accountant,Finance,Hyderabad,On-Site,Executive,Investment Analysis,2802741,3544427,2026-04-06
JOB-202657,Financial Analyst,Finance,Bengaluru,Remote,Executive,Risk Assessment,2654693,3780110,2026-02-03
JOB-202658,Bioinformatics Scientist,Healthcare,Mumbai,Remote,Entry-Level,"Bioinformatics, Python",686640,836524,2026-02-07
JOB-202659,DevOps Engineer,IT & Tech,Hyderabad,Remote,Lead,"SQL, Tableau, Power BI",2632780,3677581,2026-01-15
JOB-202660,DevOps Engineer,IT & Tech,Noida,On-Site,Lead,"Java, Spring Boot",2481638,3502336,2026-01-28
JOB-202661,Cybersecurity Analyst,IT & Tech,Hyderabad,Remote,Mid-Level,"React, Node.js",1278560,1769053,2026-05-03
JOB-202662,DevOps Engineer,IT & Tech,Mumbai,On-Site,Senior,"Python, Machine Learning",2287188,2753057,2026-04-29
JOB-202663,Social Media Expert,Marketing,Gurugram,On-Site,Executive,Digital Marketing,2775270,3695424,2026-04-30
JOB-202664,Healthcare Administrator,Healthcare,Gurugram,Remote,Entry-Level,"Healthcare Data, SQL",798564,1054851,2026-02-18
JOB-202665,Risk Manager,Finance,Delhi,Remote,Entry-Level,"Accounting, Tally",704144,862220,2026-03-25
JOB-202666,Bioinformatics Scientist,Healthcare,Bengaluru,On-Site,Lead,Hospital Administration,1714389,2124734,2026-03-25
JOB-202667,Investment Banker,Finance,Delhi,On-Site,Executive,"Financial Modeling, Excel",2612601,3531906,2026-05-31
JOB-202668,Data Scientist,IT & Tech,Bengaluru,On-Site,Entry-Level,"Cybersecurity, Network",817864,1077644,2026-02-18
JOB-202669,Marketing Manager,Marketing,Delhi,On-Site,Executive,Social Media Management,2660219,3493979,2026-03-11
JOB-202670,Healthcare Administrator,Healthcare,Gurugram,Hybrid,Entry-Level,Hospital Administration,929562,1339138,2026-04-04
JOB-202671,Software Engineer,IT & Tech,Pune,On-Site,Lead,"Java, Spring Boot",2523139,3088890,2026-02-21
JOB-202672,Cloud Architect,IT & Tech,Pune,On-Site,Entry-Level,"Python, Machine Learning",1364385,1765658,2026-05-20
JOB-202673,Bioinformatics Scientist,Healthcare,Gurugram,On-Site,Entry-Level,Hospital Administration,919473,1330779,2026-02-03
JOB-202674,Marketing Manager,Marketing,Bengaluru,Hybrid,Lead,Digital Marketing,1715667,2532794,2026-01-08
JOB-202675,Investment Banker,Finance,Hyderabad,On-Site,Mid-Level,Risk Assessment,1289090,1589738,2026-01-22
JOB-202676,Accountant,Finance,Hyderabad,Hybrid,Senior,Risk Assessment,1499548,2097211,2026-01-21
JOB-202677,Data Scientist,IT & Tech,Hyderabad,Remote,Executive,"React, Node.js",2598827,3810956,2026-01-17
JOB-202678,Accountant,Finance,Gurugram,Hybrid,Mid-Level,Risk Assessment,1195463,1711204,2026-04-15
JOB-202679,Product Manager,IT & Tech,Bengaluru,Hybrid,Senior,"React, Node.js",2201180,3243413,2026-01-15
JOB-202680,Clinical Data Analyst,Healthcare,Pune,Hybrid,Lead,"Bioinformatics, Python",1794149,2570410,2026-03-15
JOB-202681,Cybersecurity Analyst,IT & Tech,Noida,Remote,Entry-Level,"Cybersecurity, Network",1413874,1735596,2026-05-31
JOB-202682,Content Strategist,Marketing,Delhi,Hybrid,Mid-Level,Social Media Management,1028475,1345850,2026-01-27
JOB-202683,Investment Banker,Finance,Hyderabad,Hybrid,Mid-Level,"Accounting, Tally",1001275,1279117,2026-01-26
JOB-202684,Marketing Manager,Marketing,Delhi,On-Site,Entry-Level,"SEO, Google Analytics",596751,762184,2026-02-14
JOB-202685,Bioinformatics Scientist,Healthcare,Pune,Remote,Lead,"Healthcare Data, SQL",2111655,2723148,2026-03-09
JOB-202686,Data Scientist,IT & Tech,Pune,Remote,Entry-Level,"SQL, Tableau, Power BI",692787,885647,2026-03-31
JOB-202687,Risk Manager,Finance,Mumbai,Remote,Lead,"Accounting, Tally",2263837,2764998,2026-05-26
JOB-202688,Cloud Architect,IT & Tech,Noida,Hybrid,Entry-Level,"Python, Machine Learning",823745,1135140,2026-05-13
JOB-202689,Product Manager,IT & Tech,Chennai,On-Site,Executive,"AWS, Docker",2734767,3448977,2026-02-06
JOB-202690,Cloud Architect,IT & Tech,Bengaluru,On-Site,Senior,"Python, SQL",2068667,2953401,2026-04-14
JOB-202691,DevOps Engineer,IT & Tech,Pune,On-Site,Entry-Level,"AWS, Docker",862382,1152090,2026-03-22
JOB-202692,Clinical Data Analyst,Healthcare,Noida,On-Site,Senior,"Bioinformatics, Python",1438735,1978995,2026-02-09
JOB-202693,Investment Banker,Finance,Gurugram,On-Site,Senior,"Accounting, Tally",1917211,2415579,2026-05-07
JOB-202694,Software Engineer,IT & Tech,Delhi,Hybrid,Executive,"Python, Machine Learning",2993137,3879744,2026-04-30
JOB-202695,Content Strategist,Marketing,Chennai,Remote,Entry-Level,Digital Marketing,419842,540747,2026-04-02
JOB-202696,DevOps Engineer,IT & Tech,Hyderabad,Hybrid,Mid-Level,"React, Node.js",1430806,1864104,2026-05-01
JOB-202697,Marketing Manager,Marketing,Mumbai,Hybrid,Senior,"SEO, Google Analytics",1495161,2171682,2026-03-05
JOB-202698,Accountant,Finance,Noida,On-Site,Mid-Level,"Financial Modeling, Excel",1579553,2070698,2026-01-20
JOB-202699,Clinical Data Analyst,Healthcare,Hyderabad,Hybrid,Mid-Level,Hospital Administration,1236626,1800207,2026-04-22
JOB-202700,SEO Specialist,Marketing,Mumbai,Hybrid,Lead,Digital Marketing,2076569,2514208,2026-02-21
JOB-202701,SEO Specialist,Marketing,Mumbai,Remote,Lead,Content Writing,1986894,2872712,2026-02-07
JOB-202702,Accountant,Finance,Chennai,Remote,Mid-Level,"Financial Modeling, Excel",1314626,1941144,2026-02-22
JOB-202703,Bioinformatics Scientist,Healthcare,Gurugram,Remote,Lead,"Healthcare Data, SQL",1994206,2974875,2026-04-17
JOB-202704,Accountant,Finance,Noida,On-Site,Executive,"Accounting, Tally",2520996,3606846,2026-03-31
JOB-202705,Accountant,Finance,Hyderabad,Hybrid,Lead,"Financial Modeling, Excel",2095389,2516670,2026-01-28
JOB-202706,Social Media Expert,Marketing,Hyderabad,Remote,Senior,Content Writing,1515720,1833962,2026-03-13
JOB-202707,SEO Specialist,Marketing,Pune,On-Site,Entry-Level,Digital Marketing,721375,892130,2026-03-30
JOB-202708,Social Media Expert,Marketing,Mumbai,On-Site,Entry-Level,Social Media Management,529439,736402,2026-05-09
JOB-202709,Marketing Manager,Marketing,Bengaluru,Remote,Entry-Level,"SEO, Google Analytics",506630,701838,2026-02-14
JOB-202710,Investment Banker,Finance,Bengaluru,Hybrid,Mid-Level,Investment Analysis,1455900,2152576,2026-02-10
JOB-202711,Investment Banker,Finance,Mumbai,On-Site,Lead,Risk Assessment,2353358,3495629,2026-04-15
JOB-202712,Product Manager,IT & Tech,Chennai,Remote,Executive,"SQL, Tableau, Power BI",2983486,4454975,2026-03-22
JOB-202713,Bioinformatics Scientist,Healthcare,Mumbai,Hybrid,Entry-Level,"Bioinformatics, Python",821111,1089391,2026-01-30
JOB-202714,Bioinformatics Scientist,Healthcare,Chennai,On-Site,Mid-Level,"Bioinformatics, Python",1309761,1891940,2026-02-08
JOB-202715,Bioinformatics Scientist,Healthcare,Hyderabad,On-Site,Senior,Hospital Administration,1741933,2608625,2026-03-11
JOB-202716,DevOps Engineer,IT & Tech,Pune,Hybrid,Senior,"Python, Machine Learning",1850402,2583044,2026-03-25
JOB-202717,Healthcare Administrator,Healthcare,Chennai,Remote,Lead,"Healthcare Data, SQL",1896787,2298746,2026-02-01
JOB-202718,Risk Manager,Finance,Gurugram,Remote,Lead,"Accounting, Tally",1875623,2573114,2026-01-11
JOB-202719,Marketing Manager,Marketing,Noida,Remote,Lead,Social Media Management,1695992,2190160,2026-04-08
JOB-202720,Clinical Data Analyst,Healthcare,Noida,On-Site,Senior,Hospital Administration,1360536,1898494,2026-05-11
JOB-202721,Cybersecurity Analyst,IT & Tech,Mumbai,On-Site,Lead,"Cybersecurity, Network",2428918,3320842,2026-05-12
JOB-202722,SEO Specialist,Marketing,Hyderabad,On-Site,Mid-Level,Digital Marketing,1117729,1605276,2026-03-19
JOB-202723,DevOps Engineer,IT & Tech,Mumbai,Remote,Executive,"SQL, Tableau, Power BI",2904348,3625444,2026-01-24
JOB-202724,Accountant,Finance,Gurugram,On-Site,Senior,Risk Assessment,1838627,2646398,2026-02-18
JOB-202725,Financial Analyst,Finance,Bengaluru,On-Site,Entry-Level,Risk Assessment,843715,1174527,2026-04-20
JOB-202726,Data Scientist,IT & Tech,Gurugram,Hybrid,Senior,"Cybersecurity, Network",2291106,3060631,2026-01-18
JOB-202727,SEO Specialist,Marketing,Hyderabad,On-Site,Lead,Social Media Management,1879066,2740991,2026-02-16
JOB-202728,SEO Specialist,Marketing,Delhi,Remote,Mid-Level,Digital Marketing,936842,1370704,2026-04-29
JOB-202729,Bioinformatics Scientist,Healthcare,Bengaluru,Remote,Mid-Level,Hospital Administration,1092476,1581958,2026-05-23
JOB-202730,Accountant,Finance,Delhi,Hybrid,Executive,"Accounting, Tally",2688066,3927515,2026-05-14
JOB-202731,Risk Manager,Finance,Hyderabad,Remote,Executive,Risk Assessment,2518699,3391885,2026-02-17
JOB-202732,Investment Banker,Finance,Pune,Hybrid,Entry-Level,"Accounting, Tally",845646,1052278,2026-05-25
JOB-202733,Clinical Data Analyst,Healthcare,Chennai,Hybrid,Lead,"Bioinformatics, Python",1790993,2502641,2026-03-30
JOB-202734,Clinical Data Analyst,Healthcare,Noida,On-Site,Mid-Level,"Healthcare Data, SQL",1072493,1560277,2026-01-29
JOB-202735,Accountant,Finance,Bengaluru,Remote,Mid-Level,Risk Assessment,1481337,1815426,2026-05-16
JOB-202736,Cybersecurity Analyst,IT & Tech,Gurugram,Hybrid,Executive,"AWS, Docker",3020562,3761650,2026-02-05
JOB-202737,Financial Analyst,Finance,Gurugram,On-Site,Senior,Risk Assessment,1419788,1914607,2026-04-03
JOB-202738,Clinical Data Analyst,Healthcare,Mumbai,Remote,Senior,"Healthcare Data, SQL",1355326,1817588,2026-03-31
JOB-202739,Cloud Architect,IT & Tech,Noida,On-Site,Entry-Level,"SQL, Tableau, Power BI",677276,868684,2026-05-29
JOB-202740,Financial Analyst,Finance,Delhi,On-Site,Mid-Level,"Financial Modeling, Excel",1069347,1521820,2026-01-24
JOB-202741,Clinical Data Analyst,Healthcare,Gurugram,Remote,Lead,"Healthcare Data, SQL",2140955,3024564,2026-04-04
JOB-202742,Risk Manager,Finance,Hyderabad,Remote,Entry-Level,"Financial Modeling, Excel",614970,818706,2026-02-09
JOB-202743,Bioinformatics Scientist,Healthcare,Hyderabad,Remote,Lead,"Healthcare Data, SQL",2023185,2870470,2026-05-10
JOB-202744,Bioinformatics Scientist,Healthcare,Bengaluru,On-Site,Mid-Level,Hospital Administration,900805,1151591,2026-03-09
JOB-202745,Risk Manager,Finance,Noida,Hybrid,Executive,"Financial Modeling, Excel",2577782,3190577,2026-03-06
JOB-202746,Investment Banker,Finance,Noida,Remote,Executive,Risk Assessment,2753834,3452428,2026-05-18
JOB-202747,DevOps Engineer,IT & Tech,Gurugram,Remote,Lead,"AWS, Docker",2314134,3415471,2026-01-28
JOB-202748,Product Manager,IT & Tech,Pune,Hybrid,Mid-Level,"SQL, Tableau, Power BI",1422723,1769108,2026-04-02
JOB-202749,Content Strategist,Marketing,Noida,On-Site,Mid-Level,Content Writing,1026107,1266771,2026-04-10
JOB-202750,Financial Analyst,Finance,Mumbai,Remote,Mid-Level,"Accounting, Tally",1117952,1480979,2026-01-27
JOB-202751,SEO Specialist,Marketing,Hyderabad,On-Site,Lead,"SEO, Google Analytics",1931851,2633466,2026-01-08
JOB-202752,Clinical Data Analyst,Healthcare,Bengaluru,On-Site,Executive,"Bioinformatics, Python",2889983,4241982,2026-03-07
JOB-202753,DevOps Engineer,IT & Tech,Delhi,Hybrid,Entry-Level,"Python, Machine Learning",1151359,1500843,2026-03-28
JOB-202754,Risk Manager,Finance,Delhi,Hybrid,Mid-Level,"Financial Modeling, Excel",1199338,1735980,2026-04-17
JOB-202755,Financial Analyst,Finance,Hyderabad,Remote,Senior,Investment Analysis,1716196,2348848,2026-01-31
JOB-202756,Investment Banker,Finance,Chennai,On-Site,Lead,Investment Analysis,2102985,2670901,2026-03-20
JOB-202757,Software Engineer,IT & Tech,Bengaluru,Hybrid,Entry-Level,"Python, SQL",1043417,1399025,2026-03-05
JOB-202758,Clinical Data Analyst,Healthcare,Mumbai,On-Site,Entry-Level,"Bioinformatics, Python",606116,741537,2026-01-10
JOB-202759,Accountant,Finance,Hyderabad,On-Site,Executive,Investment Analysis,2804252,3451355,2026-03-26
JOB-202760,Social Media Expert,Marketing,Bengaluru,On-Site,Executive,Social Media Management,2569608,3334367,2026-03-25
JOB-202761,Social Media Expert,Marketing,Gurugram,Hybrid,Executive,Social Media Management,2801818,3434641,2026-05-12
JOB-202762,Content Strategist,Marketing,Gurugram,On-Site,Mid-Level,Social Media Management,1163812,1540607,2026-04-02
JOB-202763,Content Strategist,Marketing,Hyderabad,Hybrid,Entry-Level,"SEO, Google Analytics",611890,860832,2026-01-29
JOB-202764,Product Manager,IT & Tech,Delhi,On-Site,Executive,"Python, Machine Learning",2686882,3642390,2026-04-17
JOB-202765,Clinical Data Analyst,Healthcare,Mumbai,Hybrid,Lead,"Healthcare Data, SQL",2193371,3226502,2026-04-23
JOB-202766,Marketing Manager,Marketing,Delhi,On-Site,Executive,Digital Marketing,2732154,3431448,2026-05-08
JOB-202767,DevOps Engineer,IT & Tech,Delhi,On-Site,Entry-Level,"Python, SQL",987734,1244346,2026-01-11
JOB-202768,Risk Manager,Finance,Delhi,On-Site,Senior,"Financial Modeling, Excel",1834089,2586402,2026-02-27
JOB-202769,Bioinformatics Scientist,Healthcare,Delhi,Remote,Senior,"Healthcare Data, SQL",1371399,1871060,2026-01-15
JOB-202770,Investment Banker,Finance,Delhi,Remote,Executive,"Accounting, Tally",2575959,3578033,2026-03-10
JOB-202771,Cybersecurity Analyst,IT & Tech,Chennai,On-Site,Lead,"React, Node.js",2581341,3559859,2026-05-19
JOB-202772,Financial Analyst,Finance,Noida,Hybrid,Senior,"Accounting, Tally",1429372,1844352,2026-01-18
JOB-202773,Cybersecurity Analyst,IT & Tech,Pune,Remote,Lead,"React, Node.js",2627804,3641436,2026-03-26
JOB-202774,Accountant,Finance,Mumbai,Remote,Executive,"Accounting, Tally",2725630,3834941,2026-05-24
JOB-202775,Accountant,Finance,Chennai,On-Site,Lead,Investment Analysis,2326074,3166523,2026-01-17
JOB-202776,SEO Specialist,Marketing,Mumbai,On-Site,Senior,"SEO, Google Analytics",1282415,1894649,2026-03-24
JOB-202777,Social Media Expert,Marketing,Delhi,On-Site,Entry-Level,Social Media Management,872240,1069690,2026-02-07
JOB-202778,Bioinformatics Scientist,Healthcare,Chennai,Hybrid,Mid-Level,"Healthcare Data, SQL",1375849,1864321,2026-02-04
JOB-202779,Investment Banker,Finance,Pune,Hybrid,Lead,"Accounting, Tally",2051844,2515760,2026-04-29
JOB-202780,Investment Banker,Finance,Delhi,Hybrid,Senior,Investment Analysis,1573897,2298916,2026-03-03
JOB-202781,Investment Banker,Finance,Gurugram,Remote,Lead,Investment Analysis,2029404,2872556,2026-04-24
JOB-202782,Healthcare Administrator,Healthcare,Bengaluru,Hybrid,Entry-Level,"Bioinformatics, Python",853369,1167940,2026-01-11
JOB-202783,Healthcare Administrator,Healthcare,Delhi,On-Site,Senior,"Bioinformatics, Python",1325632,1663996,2026-02-09
JOB-202784,Clinical Data Analyst,Healthcare,Chennai,Remote,Entry-Level,Hospital Administration,665197,829634,2026-04-18
JOB-202785,Data Scientist,IT & Tech,Gurugram,Remote,Lead,"Python, SQL",2602630,3855716,2026-05-20
JOB-202786,Content Strategist,Marketing,Mumbai,On-Site,Entry-Level,"SEO, Google Analytics",429396,540529,2026-03-21
JOB-202787,Healthcare Administrator,Healthcare,Hyderabad,On-Site,Senior,"Healthcare Data, SQL",1764063,2427607,2026-04-15
JOB-202788,Product Manager,IT & Tech,Bengaluru,Hybrid,Executive,"AWS, Docker",3207413,4219438,2026-04-01
JOB-202789,Product Manager,IT & Tech,Delhi,On-Site,Senior,"AWS, Docker",1779036,2461203,2026-01-04
JOB-202790,Clinical Data Analyst,Healthcare,Hyderabad,On-Site,Mid-Level,Hospital Administration,1230378,1511244,2026-02-23
JOB-202791,Software Engineer,IT & Tech,Mumbai,Hybrid,Executive,"AWS, Docker",2979020,3886768,2026-02-03
JOB-202792,Investment Banker,Finance,Noida,On-Site,Lead,Risk Assessment,2182665,2814662,2026-01-05
JOB-202793,Healthcare Administrator,Healthcare,Hyderabad,Hybrid,Mid-Level,Hospital Administration,1122624,1658497,2026-01-16
JOB-202794,Investment Banker,Finance,Mumbai,Remote,Senior,"Accounting, Tally",1830874,2614918,2026-05-11
JOB-202795,Accountant,Finance,Pune,Hybrid,Entry-Level,Investment Analysis,679727,921391,2026-01-21
JOB-202796,DevOps Engineer,IT & Tech,Pune,Hybrid,Lead,"Python, SQL",2024652,2961744,2026-01-08
JOB-202797,Cloud Architect,IT & Tech,Delhi,Remote,Mid-Level,"Java, Spring Boot",1357355,1936868,2026-01-19
JOB-202798,SEO Specialist,Marketing,Mumbai,Hybrid,Lead,Digital Marketing,1870904,2374529,2026-02-20
JOB-202799,Product Manager,IT & Tech,Bengaluru,Hybrid,Senior,"Java, Spring Boot",2028803,3027534,2026-05-23
JOB-202800,Healthcare Administrator,Healthcare,Pune,On-Site,Executive,"Bioinformatics, Python",2719717,3884388,2026-01-22
JOB-202801,Risk Manager,Finance,Mumbai,On-Site,Executive,"Accounting, Tally",2668380,3963422,2026-05-12
JOB-202802,Risk Manager,Finance,Mumbai,Remote,Executive,Investment Analysis,2493866,3689392,2026-02-25
JOB-202803,SEO Specialist,Marketing,Noida,On-Site,Lead,Social Media Management,1733591,2227025,2026-03-18
JOB-202804,Investment Banker,Finance,Pune,Hybrid,Entry-Level,Risk Assessment,871936,1147007,2026-05-01
JOB-202805,Bioinformatics Scientist,Healthcare,Mumbai,On-Site,Senior,Hospital Administration,1766010,2627769,2026-03-13
JOB-202806,Risk Manager,Finance,Hyderabad,Hybrid,Senior,"Accounting, Tally",1617452,2075890,2026-03-06
JOB-202807,Financial Analyst,Finance,Pune,Remote,Senior,"Accounting, Tally",1462374,1791870,2026-02-02
JOB-202808,Social Media Expert,Marketing,Gurugram,On-Site,Mid-Level,Digital Marketing,876316,1189499,2026-05-18
JOB-202809,Social Media Expert,Marketing,Delhi,Remote,Lead,Digital Marketing,1648059,2423531,2026-03-22
JOB-202810,Social Media Expert,Marketing,Bengaluru,On-Site,Lead,"SEO, Google Analytics",2003932,2881709,2026-01-25
JOB-202811,Social Media Expert,Marketing,Pune,On-Site,Executive,Social Media Management,2435865,3617846,2026-02-16
JOB-202812,Accountant,Finance,Hyderabad,On-Site,Lead,Risk Assessment,2232899,3101114,2026-01-22
JOB-202813,Marketing Manager,Marketing,Hyderabad,Hybrid,Entry-Level,Social Media Management,752906,1032149,2026-04-15
JOB-202814,Data Scientist,IT & Tech,Delhi,On-Site,Mid-Level,"React, Node.js",1641931,2384640,2026-02-04
JOB-202815,Cloud Architect,IT & Tech,Noida,On-Site,Executive,"React, Node.js",2772316,3970486,2026-01-10
JOB-202816,Bioinformatics Scientist,Healthcare,Chennai,Remote,Senior,"Healthcare Data, SQL",1546917,2048836,2026-01-12
JOB-202817,Marketing Manager,Marketing,Pune,Hybrid,Mid-Level,Content Writing,972320,1245467,2026-03-31
JOB-202818,Software Engineer,IT & Tech,Pune,Remote,Mid-Level,"Java, Spring Boot",987149,1421980,2026-05-06
JOB-202819,Cloud Architect,IT & Tech,Noida,On-Site,Senior,"Java, Spring Boot",2129266,2691802,2026-02-05
JOB-202820,DevOps Engineer,IT & Tech,Hyderabad,Remote,Senior,"React, Node.js",1438181,1990633,2026-04-11
JOB-202821,Healthcare Administrator,Healthcare,Pune,Remote,Entry-Level,Hospital Administration,654000,895034,2026-03-02
JOB-202822,Accountant,Finance,Chennai,Remote,Senior,"Accounting, Tally",1861470,2715267,2026-01-10
JOB-202823,Marketing Manager,Marketing,Gurugram,On-Site,Mid-Level,Social Media Management,1288335,1728935,2026-02-27
JOB-202824,Cybersecurity Analyst,IT & Tech,Mumbai,Remote,Senior,"Cybersecurity, Network",1793304,2364997,2026-03-24
JOB-202825,Bioinformatics Scientist,Healthcare,Delhi,Remote,Senior,"Bioinformatics, Python",1435909,1943095,2026-02-16
